unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.62341E+12,11-06-21,11:00:00,SOL/USDT,39.572,39.691,39.155,39.314,113468.956,4466358.019,8221
1.62341E+12,11-06-21,10:00:00,SOL/USDT,39.317,39.85,39.305,39.555,132298.95,5236908.787,8724
1.6234E+12,11-06-21,09:00:00,SOL/USDT,38.75,39.684,38.75,39.315,171850.633,6760354.007,11536
1.6234E+12,11-06-21,08:00:00,SOL/USDT,38.733,39.26,38.662,38.755,162366.654,6328203.383,10300
1.62339E+12,11-06-21,07:00:00,SOL/USDT,38.446,39.173,38.317,38.729,266649.208,10333329.37,16409
1.62339E+12,11-06-21,06:00:00,SOL/USDT,39.407,39.516,38.388,38.428,282122.12,10991448.18,20554
1.62339E+12,11-06-21,05:00:00,SOL/USDT,39.981,40.1,39.354,39.405,134001.059,5332535.808,9230
1.62338E+12,11-06-21,04:00:00,SOL/USDT,40.167,40.359,39.658,39.985,148997.125,5952486.518,9124
1.62338E+12,11-06-21,03:00:00,SOL/USDT,40.213,40.5,39.72,40.171,157875.921,6336712.405,9561
1.62338E+12,11-06-21,02:00:00,SOL/USDT,40.009,40.258,39.28,40.213,150489.663,5984747.462,11940
1.62337E+12,11-06-21,01:00:00,SOL/USDT,40.414,40.59,39.598,40,179145.309,7167035.346,12867
1.62337E+12,11-06-21,00:00:00,SOL/USDT,41.091,41.376,40.265,40.4,184237.805,7498930.287,14630
1.62337E+12,10-06-21,23:00:00,SOL/USDT,41.314,41.5,40.954,41.105,89504.146,3692387.794,8176
1.62336E+12,10-06-21,22:00:00,SOL/USDT,40.774,41.395,40.714,41.302,103903.126,4279524.749,8827
1.62336E+12,10-06-21,21:00:00,SOL/USDT,41.115,41.136,40.52,40.772,99234.292,4048294.319,8482
1.62336E+12,10-06-21,20:00:00,SOL/USDT,40.95,41.14,40,41.114,215103.535,8694606.307,16693
1.62335E+12,10-06-21,19:00:00,SOL/USDT,41.348,41.55,40.513,40.946,201389.734,8255222.916,13302
1.62335E+12,10-06-21,18:00:00,SOL/USDT,40.55,41.384,40.5,41.364,257348.808,10535616.79,14956
1.62334E+12,10-06-21,17:00:00,SOL/USDT,40.327,40.644,39.459,40.556,383655.283,15368413.83,25861
1.62334E+12,10-06-21,16:00:00,SOL/USDT,41.121,41.3,40.2,40.323,300253.34,12209913.58,17296
1.62334E+12,10-06-21,15:00:00,SOL/USDT,41.595,41.755,40.804,41.111,190913.843,7874401.432,13909
1.62333E+12,10-06-21,14:00:00,SOL/USDT,41.92,42.28,41.389,41.591,213386.561,8914744.591,14789
1.62333E+12,10-06-21,13:00:00,SOL/USDT,41.981,42.1,41.344,41.912,193019.725,8060526.94,11131
1.62333E+12,10-06-21,12:00:00,SOL/USDT,41.966,42.174,41.63,41.963,170906.976,7162958.793,10809
1.62332E+12,10-06-21,11:00:00,SOL/USDT,42.23,42.775,41.877,41.979,163330.911,6906410.178,11712
1.62332E+12,10-06-21,10:00:00,SOL/USDT,42.644,43.097,42.201,42.23,351366.393,14996507.06,22572
1.62332E+12,10-06-21,09:00:00,SOL/USDT,41.428,42.83,41.068,42.664,382086.56,16067271.57,25453
1.62331E+12,10-06-21,08:00:00,SOL/USDT,42.127,42.128,41.1,41.445,218670.864,9097426.08,14900
1.62331E+12,10-06-21,07:00:00,SOL/USDT,42.152,42.398,41.83,42.124,166717.898,7013710.322,10149
1.6233E+12,10-06-21,06:00:00,SOL/USDT,41.569,42.4,41.153,42.163,260167.597,10892375.26,18201
1.6233E+12,10-06-21,05:00:00,SOL/USDT,41.534,41.814,40.889,41.564,176227.824,7294252.21,13209
1.6233E+12,10-06-21,04:00:00,SOL/USDT,40.745,41.739,40.62,41.567,162806.185,6696090.353,12130
1.62329E+12,10-06-21,03:00:00,SOL/USDT,41.34,41.468,40.724,40.724,192262.49,7908541.689,11532
1.62329E+12,10-06-21,02:00:00,SOL/USDT,40.86,41.352,40.6,41.338,192441.306,7885244.237,14162
1.62329E+12,10-06-21,01:00:00,SOL/USDT,41.427,41.945,40.86,40.86,188688.269,7826844.435,13538
1.62328E+12,10-06-21,00:00:00,SOL/USDT,42.032,42.075,40.851,41.414,281722.405,11649071.78,22866
1.62328E+12,09-06-21,23:00:00,SOL/USDT,42.442,42.444,41.824,42.032,215546.284,9074002.346,13302
