unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.61622E+12,20-03-21,06:00:00,USDC/USDT,0.9998,1,0.9998,0.9999,1908915.28,1908704.996,954
1.61622E+12,20-03-21,05:00:00,USDC/USDT,0.9998,1.0003,0.9997,0.9998,7014160.01,7014728.807,1825
1.61621E+12,20-03-21,04:00:00,USDC/USDT,0.9998,0.9999,0.9994,0.9998,6549189.79,6546902.843,2129
1.61621E+12,20-03-21,03:00:00,USDC/USDT,0.9999,1,0.9994,0.9999,2689860.97,2689417.911,1995
1.61621E+12,20-03-21,02:00:00,USDC/USDT,0.9999,1,0.9995,0.9999,2663883.77,2663654.061,1188
1.6162E+12,20-03-21,01:00:00,USDC/USDT,0.9997,1,0.9997,0.9999,4184329.38,4183600.624,1510
1.6162E+12,20-03-21,00:00:00,USDC/USDT,0.9999,1,0.9994,0.9997,10744275.05,10740800.69,2616
1.61619E+12,19-03-21,23:00:00,USDC/USDT,1.0001,1.0001,0.9995,0.9999,3647163.25,3646625.81,2164
1.61619E+12,19-03-21,22:00:00,USDC/USDT,0.9998,1.0001,0.9998,1.0001,4475079,4474489.685,1635
1.61619E+12,19-03-21,21:00:00,USDC/USDT,0.9997,0.9999,0.9995,0.9998,4063490.79,4062559.439,2839
1.61618E+12,19-03-21,20:00:00,USDC/USDT,0.9999,0.9999,0.9997,0.9998,4323501.88,4322703.349,2796
1.61618E+12,19-03-21,19:00:00,USDC/USDT,0.9997,0.9999,0.9996,0.9998,3472814.9,3472140.742,1910
1.61618E+12,19-03-21,18:00:00,USDC/USDT,0.9998,0.9999,0.9996,0.9997,4275547.38,4274653.05,2531
1.61617E+12,19-03-21,17:00:00,USDC/USDT,0.9998,1,0.9996,0.9998,6061070.37,6059989.996,4069
1.61617E+12,19-03-21,16:00:00,USDC/USDT,1,1,0.9996,0.9998,8686654.52,8685303.967,4191
1.61617E+12,19-03-21,15:00:00,USDC/USDT,1.0001,1.0002,0.9997,0.9999,8061009.09,8061151.897,2992
1.61616E+12,19-03-21,14:00:00,USDC/USDT,1.0001,1.0003,1.0001,1.0002,3032489.97,3033080.704,1273
1.61616E+12,19-03-21,13:00:00,USDC/USDT,1.0002,1.0004,1.0001,1.0002,3917010.24,3917974.284,1379
1.61616E+12,19-03-21,12:00:00,USDC/USDT,0.9999,1.0003,0.9999,1.0002,2220802.82,2221005.85,1158
1.61615E+12,19-03-21,11:00:00,USDC/USDT,1,1.0004,0.9997,0.9999,5497328.61,5497729.249,1937
1.61615E+12,19-03-21,10:00:00,USDC/USDT,1.0003,1.0004,0.9994,1,5873505.07,5873832.386,1856
1.61614E+12,19-03-21,09:00:00,USDC/USDT,1.0003,1.0007,1.0001,1.0002,11210564.35,11214154.87,3049
1.61614E+12,19-03-21,08:00:00,USDC/USDT,1.0003,1.0004,1,1.0002,4840279.69,4841364.551,1455
1.61614E+12,19-03-21,07:00:00,USDC/USDT,1.0003,1.0004,1,1.0002,3088328.78,3089056.802,1172
1.61613E+12,19-03-21,06:00:00,USDC/USDT,1.0001,1.0003,1.0001,1.0002,2064068.5,2064548.809,849
1.61613E+12,19-03-21,05:00:00,USDC/USDT,1,1.0003,0.9999,1.0001,2682701.48,2683142.038,972
1.61613E+12,19-03-21,04:00:00,USDC/USDT,0.9999,1.0002,0.9999,0.9999,2707692.76,2707747.447,889
1.61612E+12,19-03-21,03:00:00,USDC/USDT,1.0001,1.0001,0.9999,0.9999,2451077.16,2451111.3,1012
1.61612E+12,19-03-21,02:00:00,USDC/USDT,1.0001,1.0003,0.9994,1,5682458.22,5682552.692,1251
1.61612E+12,19-03-21,01:00:00,USDC/USDT,1.0001,1.0003,0.9994,1.0001,7318879.18,7319537.391,1550
1.61611E+12,19-03-21,00:00:00,USDC/USDT,1.0003,1.0003,0.9992,1.0002,4747171.99,4747288.829,1512
1.61611E+12,18-03-21,23:00:00,USDC/USDT,1,1.0003,1,1.0002,1995591.7,1995870.005,848
1.6161E+12,18-03-21,22:00:00,USDC/USDT,1,1.0001,0.9998,1.0001,2363734.02,2363626.498,1320
1.6161E+12,18-03-21,21:00:00,USDC/USDT,1.0001,1.0002,0.9994,1,4670674.89,4670376.275,1623
1.6161E+12,18-03-21,20:00:00,USDC/USDT,1.0002,1.0003,0.9998,1.0001,5180188.41,5181037.282,1575
1.61609E+12,18-03-21,19:00:00,USDC/USDT,1.0002,1.0003,1.0001,1.0003,4115100.96,4115984.747,1583
1.61609E+12,18-03-21,18:00:00,USDC/USDT,1,1.0003,1,1.0002,4270729.15,4271328.745,1537
1.61609E+12,18-03-21,17:00:00,USDC/USDT,1,1.0003,0.9997,1,6721351.48,6721871.319,2259
1.61608E+12,18-03-21,16:00:00,USDC/USDT,1,1.0002,0.9994,1,8201763.56,8201412.348,3093
1.61608E+12,18-03-21,15:00:00,USDC/USDT,1.0001,1.0002,0.9998,0.9999,5601418.4,5601388.648,1803
1.61608E+12,18-03-21,14:00:00,USDC/USDT,1.0001,1.0003,0.9997,1.0001,6781146.13,6781497.274,1963
1.61607E+12,18-03-21,13:00:00,USDC/USDT,1.0002,1.0002,0.9994,1,5381255.58,5380654.152,1816
1.61607E+12,18-03-21,12:00:00,USDC/USDT,1.0002,1.0003,1.0001,1.0002,3624717.91,3625576.165,1785
1.61607E+12,18-03-21,11:00:00,USDC/USDT,1,1.0003,0.9999,1.0002,4350802.86,4351296.883,1613
1.61606E+12,18-03-21,10:00:00,USDC/USDT,1.0001,1.0003,0.9998,1,2489889.59,2490137.654,1465
1.61606E+12,18-03-21,09:00:00,USDC/USDT,1.0001,1.0003,1,1.0001,5408838.83,5410127.358,1586
1.61605E+12,18-03-21,08:00:00,USDC/USDT,1,1.0003,0.9998,1.0001,4819623.82,4819822.521,1509
1.61605E+12,18-03-21,07:00:00,USDC/USDT,0.9999,1,0.9997,1,3566197.61,3565598.463,1176
1.61605E+12,18-03-21,06:00:00,USDC/USDT,0.9998,0.9999,0.9996,0.9999,3914040.29,3912973.417,2045
1.61604E+12,18-03-21,05:00:00,USDC/USDT,0.9999,1,0.9997,0.9998,3677989,3677439.239,1385
1.61604E+12,18-03-21,04:00:00,USDC/USDT,1.0002,1.0002,0.9998,0.9999,2746000.85,2745988.357,962
1.61604E+12,18-03-21,03:00:00,USDC/USDT,1.0001,1.0002,1,1.0002,2488659.69,2488979.66,1048
1.61603E+12,18-03-21,02:00:00,USDC/USDT,0.9999,1.0001,0.9998,1.0001,2322724.96,2322741.531,1130
1.61603E+12,18-03-21,01:00:00,USDC/USDT,1,1.0001,0.9994,0.9999,9315925.79,9313759.025,2132
1.61603E+12,18-03-21,00:00:00,USDC/USDT,0.9997,1,0.9996,1,6313187.89,6312118.435,1739
